I (258884) moq-ultra-net: phase=streaming sent=12330 received=12320 replies=25 control=25 reset_tx=24 reset_rx=24 internal_free=210275 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (268882) moq-ultra-net: phase=streaming sent=12830 received=12819 replies=26 control=26 reset_tx=25 reset_rx=25 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (278882) moq-ultra-net: phase=streaming sent=13330 received=13319 replies=27 control=27 reset_tx=26 reset_rx=26 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (288881) moq-ultra-net: phase=streaming sent=13830 received=13819 replies=28 control=28 reset_tx=27 reset_rx=27 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (298880) moq-ultra-net: phase=streaming sent=14330 received=14319 replies=29 control=29 reset_tx=28 reset_rx=28 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (308886) moq-ultra-net: phase=streaming sent=14829 received=14820 replies=30 control=30 reset_tx=29 reset_rx=29 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (318886) moq-ultra-net: phase=streaming sent=15330 received=15320 replies=31 control=31 reset_tx=30 reset_rx=30 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (328880) moq-ultra-net: phase=streaming sent=15830 received=15819 replies=32 control=32 reset_tx=31 reset_rx=31 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (338881) moq-ultra-net: phase=streaming sent=16330 received=16319 replies=33 control=33 reset_tx=32 reset_rx=32 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (348882) moq-ultra-net: phase=streaming sent=16830 received=16819 replies=34 control=34 reset_tx=33 reset_rx=33 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (358882) moq-ultra-net: phase=streaming sent=17330 received=17319 replies=35 control=35 reset_tx=34 reset_rx=34 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (368882) moq-ultra-net: phase=streaming sent=17830 received=17819 replies=36 control=36 reset_tx=35 reset_rx=35 internal_free=210299 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (378880) moq-ultra-net: phase=streaming sent=18330 received=18319 replies=37 control=37 reset_tx=36 reset_rx=36 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (388880) moq-ultra-net: phase=streaming sent=18830 received=18819 replies=38 control=38 reset_tx=37 reset_rx=37 internal_free=210255 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (398882) moq-ultra-net: phase=streaming sent=19330 received=19319 replies=39 control=39 reset_tx=38 reset_rx=38 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (408882) moq-ultra-net: phase=streaming sent=19830 received=19819 replies=40 control=40 reset_tx=39 reset_rx=39 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (418881) moq-ultra-net: phase=streaming sent=20330 received=20319 replies=41 control=41 reset_tx=40 reset_rx=40 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (428880) moq-ultra-net: phase=streaming sent=20830 received=20819 replies=42 control=42 reset_tx=41 reset_rx=41 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (438882) moq-ultra-net: phase=streaming sent=21330 received=21319 replies=43 control=43 reset_tx=42 reset_rx=42 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (448881) moq-ultra-net: phase=streaming sent=21830 received=21819 replies=44 control=44 reset_tx=43 reset_rx=43 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (458880) moq-ultra-net: phase=streaming sent=22330 received=22319 replies=45 control=45 reset_tx=44 reset_rx=44 internal_free=210299 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (468882) moq-ultra-net: phase=streaming sent=22830 received=22819 replies=46 control=46 reset_tx=45 reset_rx=45 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (478882) moq-ultra-net: phase=streaming sent=23330 received=23319 replies=47 control=47 reset_tx=46 reset_rx=46 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (488880) moq-ultra-net: phase=streaming sent=23830 received=23819 replies=48 control=48 reset_tx=47 reset_rx=47 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (498880) moq-ultra-net: phase=streaming sent=24330 received=24319 replies=49 control=49 reset_tx=48 reset_rx=48 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (508881) moq-ultra-net: phase=streaming sent=24830 received=24819 replies=50 control=50 reset_tx=49 reset_rx=49 internal_free=211779 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (518881) moq-ultra-net: phase=streaming sent=25330 received=25319 replies=51 control=51 reset_tx=50 reset_rx=50 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (528882) moq-ultra-net: phase=streaming sent=25830 received=25819 replies=52 control=52 reset_tx=51 reset_rx=51 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (538882) moq-ultra-net: phase=streaming sent=26330 received=26319 replies=53 control=53 reset_tx=52 reset_rx=52 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (548881) moq-ultra-net: phase=streaming sent=26830 received=26819 replies=54 control=54 reset_tx=53 reset_rx=53 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (558880) moq-ultra-net: phase=streaming sent=27330 received=27319 replies=55 control=55 reset_tx=54 reset_rx=54 internal_free=211895 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (568881) moq-ultra-net: phase=streaming sent=27830 received=27819 replies=56 control=56 reset_tx=55 reset_rx=55 internal_free=211895 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (578884) moq-ultra-net: phase=streaming sent=28330 received=28319 replies=57 control=57 reset_tx=56 reset_rx=56 internal_free=211895 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (588880) moq-ultra-net: phase=streaming sent=28830 received=28819 replies=58 control=58 reset_tx=57 reset_rx=57 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (598880) moq-ultra-net: phase=streaming sent=29330 received=29319 replies=59 control=59 reset_tx=58 reset_rx=58 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (608882) moq-ultra-net: phase=streaming sent=29830 received=29819 replies=60 control=60 reset_tx=59 reset_rx=59 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (618882) moq-ultra-net: phase=streaming sent=30330 received=30319 replies=61 control=61 reset_tx=60 reset_rx=60 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (628881) moq-ultra-net: phase=streaming sent=30830 received=30819 replies=62 control=62 reset_tx=61 reset_rx=61 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (638884) moq-ultra-net: phase=streaming sent=31330 received=31319 replies=63 control=63 reset_tx=62 reset_rx=62 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (648881) moq-ultra-net: phase=streaming sent=31830 received=31819 replies=64 control=64 reset_tx=63 reset_rx=63 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (658881) moq-ultra-net: phase=streaming sent=32330 received=32319 replies=65 control=65 reset_tx=64 reset_rx=64 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (668882) moq-ultra-net: phase=streaming sent=32830 received=32819 replies=66 control=66 reset_tx=65 reset_rx=65 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (678882) moq-ultra-net: phase=streaming sent=33330 received=33319 replies=67 control=67 reset_tx=66 reset_rx=66 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (688880) moq-ultra-net: phase=streaming sent=33830 received=33819 replies=68 control=68 reset_tx=67 reset_rx=67 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (698883) moq-ultra-net: phase=streaming sent=34330 received=34319 replies=69 control=69 reset_tx=68 reset_rx=68 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (708880) moq-ultra-net: phase=streaming sent=34830 received=34819 replies=70 control=70 reset_tx=69 reset_rx=69 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (718881) moq-ultra-net: phase=streaming sent=35330 received=35319 replies=71 control=71 reset_tx=70 reset_rx=70 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (728882) moq-ultra-net: phase=streaming sent=35830 received=35819 replies=72 control=72 reset_tx=71 reset_rx=71 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (738881) moq-ultra-net: phase=streaming sent=36330 received=36319 replies=73 control=73 reset_tx=72 reset_rx=72 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (748882) moq-ultra-net: phase=streaming sent=36830 received=36819 replies=74 control=74 reset_tx=73 reset_rx=73 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (758880) moq-ultra-net: phase=streaming sent=37330 received=37319 replies=75 control=75 reset_tx=74 reset_rx=74 internal_free=211547 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (768882) moq-ultra-net: phase=streaming sent=37830 received=37819 replies=76 control=76 reset_tx=75 reset_rx=75 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (778881) moq-ultra-net: phase=streaming sent=38330 received=38319 replies=77 control=77 reset_tx=76 reset_rx=76 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (788882) moq-ultra-net: phase=streaming sent=38830 received=38819 replies=78 control=78 reset_tx=77 reset_rx=77 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (798880) moq-ultra-net: phase=streaming sent=39330 received=39319 replies=79 control=79 reset_tx=78 reset_rx=78 internal_free=210063 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (808883) moq-ultra-net: phase=streaming sent=39830 received=39819 replies=80 control=80 reset_tx=79 reset_rx=79 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (818883) moq-ultra-net: phase=streaming sent=40330 received=40319 replies=81 control=81 reset_tx=80 reset_rx=80 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (828881) moq-ultra-net: phase=streaming sent=40830 received=40819 replies=82 control=82 reset_tx=81 reset_rx=81 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (838882) moq-ultra-net: phase=streaming sent=41330 received=41319 replies=83 control=83 reset_tx=82 reset_rx=82 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (848883) moq-ultra-net: phase=streaming sent=41830 received=41819 replies=84 control=84 reset_tx=83 reset_rx=83 internal_free=210063 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
